product_id,name,price,quantity,sold_count,description,variants,product_discount
676b94fe887160e0466d5d14,Sách nhập môn Linux,31000,2,0,Sách dành cho lập trình viên,[],"{'discount_price': 25000, 'discount_quantity': 1}"
676b959f887160e0466d5d90,Lập trình c# từ cơ bản đến nâng cao,35000,10,0,"Để đáp ứng yêu cầu tìm hiểu, học tập của sinh viên các ngành kỹ thuật, kinh tế nói chung và sinh viên ngành Công nghệ thông tin nói riêng, đặc biệt cho những ai có nhu cầu tự học tập, dựa vào kinh nghiệm giảng dạy từ năm 2002 đến nay về bộ .NET, tác giả biên soạn tài liệu này nhằm đáp ứng phần nào cho các đối tượng trên. Nếu các bạn đã có kiến thức về lập trình C/C++ hoặc Java thì việc học ngôn ngữ C# (C sharp) rất thuận lợi. Tuy nhiên, đây là",[],None
676b96aa887160e0466d5e16,Giáo trình hệ cơ sở dữ liệu quyển 1,45000,20,0,"Cơ sở dữ liệu (CSDL) là một trong những môn cơ sở ngành quan trọng của chuyên ngành Công nghệ thông tin. Mục đích của Giáo trình Hệ cơ sở dữ liệu giúp sinh viên nắm bắt nhanh những kiến thức cơ bản, cốt lõi nhất về lý thuyết, phân tích, thiết kế, công nghệ và vận dụng thực tế trong việc thiết kế CSDL tại doanh nghiệp.",[],None
676bc4e4887160e0466d7229,Bút chì gỗ Thiên Long GP-01,6000,9,1,"Bút chì gỗ Thiên Long GP-01 thích hợp cho các hoạt động như ghi chép, vẽ nháp, học tập.Đặc điểm:- Nét đậm, để lại nhiều than chì trên giấy- Lướt rất nhẹ nhàng trên bề mặt viết- Dùng để đánh bóng các bức vẽ, đạt đến nhiều mức độ sáng tối khác nhau. Ngoài ra khá hữu dụng trong việc tô đậm vào ô trả lời trắc nghiệm nhanh nhất.- Thân lục giác, 2B.",[],None
676bc6f14be67e72c7634d38,Vở 4 ôly Fairy 48 trang Hải Tiến,8000,13,2,"Giấy trắng tự nhiên, bề mặt giấy láng mịn, viết êm tay, tạo nét chữ đẹp. Giấy viết không bụi, không nhòe, không thấm mực sang trang sau, tốt cho người sử dụng.",[],None
676bcb0c4be67e72c7635055,Cặp vợt cầu lông Ebet Power 1911,150000,1,1,"Vợt được làm từ chất liệu cao cấp với phần khung và cán có độ bền cao, khả năng chịu lực lớn giúp vợt luôn ổn định khi sử dụng. Vợt được thiết kế với chiều dài cán vợt và khung vợt theo tiêu chuẩn kích thước thi đấu.Tay cầm được làm bằng gỗ siêu nhẹ bên ngoài có bọc lớp lót dày, chắc tay, chống trơn trượt",[],None
676bcd5c7549c8dc30f10aec,Ống cầu lông 88,250000,9,1,"Ống cầu lông cao cấp 88 là sản phẩm chất lượng cao hoàn toàn được làm từ nguyên liệu lông tự nhiên, sản xuất trên dây chuyền tự động chiếm trên 80%, theo tiêu chuẩn của liên đoàn cầu lông thế giới BWF với phương châm không ngừng đổi mới và cải tiến. Cùng với sự góp sức của gần 100 cán bộ công nhân viên, sản phẩm quả cầu lông 88 đã phần nào khẳng định được chất lượng cũng như uy tín với người tiêu dùng cả nước.",[],None
676bce5a7549c8dc30f10c20,Đồng phục áo hcmunre,150000,1,0,Áo size M,[],None
676d23eb59849b7885324b39,Sách tự học lập trình Python căn bản,75000,20,0,"Ngôn ngữ lập trình Python là ngôn ngữ lập trình bậc cao với rất nhiều ưu điểm: hình thức và cấu trúc rõ ràng, có thể dễ đọc, dễ nhớ, rất thuận tiện cho người mới học lập trình. Python ngày càng chứng minh được tính hiệu quả và sự ứng dụng rộng rãi của nó trong rất nhiều lĩnh vực khác nhau trong ngành Công nghệ thông tin",[],None
676d252e59849b7885324bf7,Cấu trúc dữ liệu và giải thuật,125000,3,0,"Qua nhiều năm nghiên cứu và giảng dạy ở các Trường Đại học sư phạm - Đại học Đà Nẵng, Đại học Khoa học - Đại học Huế, Đại học Duy Tân, Đại học Công nghệ Thông tin và Truyền thông Việt-Hàn và một số trường đại học khác ở miền Trung và Tây Nguyên, chúng tôi đã cố gắng đúc kết để biên soạn cuốn sách Giáo trình Cấu trúc dữ liệu và giải thuật nhằm đáp ứng nhu cầu học tập và nghiên cứu của học sinh, sinh viên và những bạn đọc quan tâm đến lĩnh vực",[],None
676d263359849b7885324cf2,Bóng đá Thiên Long,145000,10,0,"- Mã sản phẩm: BDTL.- Xuất xứ: Việt Nam.- Quả bóng đá Thiên Long được may chắc chắn, tròn đều từ chất liệu da Polyurethane và có độ nẩy chuẩn. Bóng cho đường bay chính xác và phù hợp sử dụng cho tất cả các mặt sân cỏ. Quả bóng thiết kế với kiểu dáng thể thao và màu sắc đẹp mắt.- Màu sắc: hoa văn nổi bật.- Size bóng: số 4 và số 5.- Quả bóng đá Thiên Long phù hợp sử dụng tập luyện bóng đá cho học sinh tại nhà hoặc trường học.",[],None
676d354259849b78853257cc,Cặp Vợt Cầu Lông Fuwin 3000,300000,10,0,"– Vợt có khung và cán được làm bằng chất liệu Hợp kim Nhôm cao cấp siêu bền, có khả năng chịu lực lớn, giữ vợt luôn ổn định khi nhận những quả cầu cực mạnh.– Tay cầm được làm bằng gỗ bọc, bọc ngoài là lớp lót dày, chắc tay, giúp bạn cầm nắm vợt được chắc chắn, không gây khó chịu.– Vợt được thiết kế với chiều dài cán vợt và khung vợt theo tiêu chuẩn kích thước thi đấu.– Vợt giá rẻ dành người mới chơi học sinh, sinh viên hay sử dụng nhiều.","[{'variant_name': 'Xanh', 'variant_price': 300000, 'variant_quantity': 5, 'variant_sold_quantity': 0, 'variant_discounts': []}, {'variant_name': 'Đỏ', 'variant_price': 300000, 'variant_quantity': 5, 'variant_sold_quantity': 0, 'variant_discounts': []}]",None
676d368759849b788532594a,Khoá học lập trình web-css3,150000,7,0,Khoá học lập trình cơ bản và nâng cao,"[{'variant_name': 'Cơ bản', 'variant_price': 150000, 'variant_quantity': 2, 'variant_sold_quantity': 0, 'variant_discounts': []}, {'variant_name': 'Nâng cao', 'variant_price': 300000, 'variant_quantity': 5, 'variant_sold_quantity': 0, 'variant_discounts': []}]",None
676d36ff59849b7885325a4e,Lập trình website với PHP và MySQL,200000,5,0,Khoá học lập trình website với PHP cho người mới bắt đầu,[],None
676d38a559849b7885325cb3,Lập trình Flutter cơ bản,200000,10,0,Lập trình flutter,[],None
676d3a9659849b78853260f6,Khoá học lập trình React,170000,5,0,Học lập trình react cơ bản,[],None
676d3b8a59849b788532627d,Bảng tên nhựa ,2000,10,0,"-Sản phẩm làm bằng nhựa dẻo có zip đóng mở chống thấm nước rất tiện lợi.– Chất liệu nhựa tốt và có độ bền cao.– Bảo quản: Nhiệt độ 10~550 C, Độ ẩm : 55~95 RH, Tránh xa nguồn nhiệt, dầu mỡ",[],None
676d3c0b59849b78853262d3,Bút xóa CP02,20000,10,0,"Bút xóa CP02: Bút Xóa Nước CP02 TL là vật dụng cần thiết và hữu ích trong công việc và học tập của bạn. Sản phẩm giúp bạn xóa thông tin sai và sửa lại dễ dàng, đảm bảo tính thẩm mỹ trong văn bản.Thiết kế đẹp mắtSản phẩm có kiểu dáng hiện đại, thân bút màu xanh lá. Kích thước nhỏ gọn giúp việc cầm bút thêm thoải mái.Kiểu dáng đơn giản dễ sử dụng, mực xuống đều, mau khô, sử dụng tiết kiệm cho người sử dụng.Chất lượng mực xóa hoàn hảo",[],None
676d3cc759849b78853263ee,Bộ bút gel Hoshi Thiên Long BST-GEL/HS - Công nghệ Nhật Bản,7000,20,0,"Đặc tính sản phẩm: - Bút gel Hoshi Thiên Long - Công nghệ Nhật Bản, tự động khóa ngòi khi cài nếu bút ở trạng thái thu ngòi.",[],None
676d3d4059849b7885326444,Gôm tẩy Penten,11000,30,0,"Vài nét về gôm Pentel :_ Gôm Pentel có màu trắng sạch, đặc tính dẻo dai, không bám bụi và không bị bẩn đen trong quá trình sử dụng._ Sản phẩm giúp xóa sạch nhanh và hiệu quả vết chì._ Gôm siêu mềm và siêu dẻo, không bị cứng khi sử dụng trong thời gian dài._ Gôm có lớp bọc bên ngoài giúp bảo vệ ruột và tiện cho người dùng._ Chất liệu tốt, đáp ứng các chỉ tiêu an toàn cho phép, không có mùi khó chịu.",[],None
676d3dd459849b788532651a,Ruột xóa kéo V Plus,15000,30,0,"Ruột xóa kéo V Plus : Dùng thay vào xóa kéo WH-105, Kích thước: dài 10m, rộng 5mm. Đóng gói: 10 cây /hộp. Xuất xứ: Nhật Bản .Đầu xóa dạng phẳng đảm bảo băng dính đều và chặt, không bong tróc.Dễ dàng thay thế.",[],None
676d3e3f59849b7885326566,GIẤY EXCEL A3 80,110000,10,0,"GIẤY EXCEL A3 80: Giấy trắng mịn.Công dụng: in chứng từ,photocopy.Quy cách: Đóng gói Ram.Xuất xứ : Việt Nam (Giấy An Hòa), Indonesia...Công ty TNHH Sản Xuất Giấy Văn Phòng Phẩm Hoa Sen chuyên đóng gói, phân phối giấy Excel định lượng 80 A3 tốt nhất với giá rẻ nhất cho khách hàng.Liên hệ ngay với chúng tôi để được hỗ trợ thêm thông tin giá cả cũng như giao nhận hàng.",[],None
676d3eaf59849b78853265fc,Giấy Decal A4 đế vàng,65000,26,0,"Giấy Decal A4 đế vàng: Đặc điểm :- Mặt trước của giấy decal đế vàng màu trắng, xé rách, bề mặt trơn nhẵn, hơi bóng. Sử dụng tốt cho mực in phun cho chất lượng bản in đẹp, độ bám cao …- Mặt sau của giấy decal đế vàng có phủ keo dùng để dán lên sản phẩm. Đế của giấy màu vàng- Là loại giấy decal phổ biến nhất trên thị trường hiện nay, ứng dụng rộng rãi trong nhiều nghành nghề: siêu thị, nhà sách, may mặc, gốm sứ, mây tre lá, mỹ phẩm…*Chất lượng : Đẹp, láng.*Quy",[],None
676d3f5659849b78853267c8,Bìa nút A4 My Clear,3500,35,0,"Bìa nút A4 My Clear: bìa nút bấm gài, thích hợp đựng các loại hồ sơ, tài liệu, giấy tờ khổ A4 cũng như nhiều loại vật dụng, dụng cụ văn phòng khác. Sản phẩm tiện dụng, đa năng giúp bạn lưu trữ bảo quản tốt. Bìa nút A4 My Clear là săn phẩm được tin dùng phổ biến tại thị trường VN.",[],None
676d402559849b78853268bc,Áo hcmunre size L,165000,1,0,Áo thừa nên cần bán,[],None
676d410059849b7885326ab0,Combo 5 ruột xoá kéo plus,65000,10,0,"Ưu điểm của sản phẩm là sạch sẽ, không gây lem ra trang giấy nên được tin dùng phổ biến tại các văn phòng cũng như trường học.Băng kéo dầy, tạo độ che phủ tốt, lực đẩy êm, nhẹ nhàng tẩy xóa sạch những điểm sai bằng vết mực.Màu sắc : Xanh dương, Xanh lá, Hồng, Vàng",[],None
676d426359849b7885326d6f,Áo hcmunre size S,155000,1,0,áo chật quá nên bán lại,[],None
676d431159849b7885326ee1,Giày bata nam size 36,50000,1,0,Giày mua chật nên pass lại rẻ,[],None
676d43e759849b7885327082,Găng tay thủ môn giá rẻ câu lạc bộ Manchester United GT001,90000,1,0,pass rẻ do thừa,[],None
676d455c59849b78853273f3,Very Easy Toeic,80000,2,0,"Cung cấp thông tin tổng quan về kỳ thi TOEIC,Giải thích các điểm ngữ pháp rõ ràng và chính xác,Giới thiệu các bài học theo chủ đề với những bài thực hành ngữ pháp tích hợp,Phần bài tập giúp phân biệt và sử dụng đúng những từ thường gây nhầm lẫn,Thực hành tập trung vào các dạng câu hỏi thường gặp trong bài thi.",[],None
676d462759849b7885327699,100 bài tập C++ có lời giải,132000,2,0,Tổng hợp 100 bài tập của C++,[],None
676d466a59849b7885327766,100 bài tập PHP,150000,5,0,Bài tập về php,[],None
676d46d959849b7885327893,100 bài tập lập trình Java,149000,5,0,Các câu hỏi và trả lời Java,[],None
676d474059849b78853279b7,100 bài tập JavaScript ,179990,20,0,100 bài tập java script có lời giải,[],None
676d479659849b7885327aa3,Lời giải bài tập Python cơ bản,199999,5,0,Tổng hợp lời giải bài tập Python,[],None
676d480059849b7885327b66,Python từ cơ bản đến giải đề,215000,10,0,Sách dành cho dân lập trình Python,[],None
676d498e59849b7885327dbe,Lập trình Python microsoft,189000,2,0,Sách lập trình IT,[],None
676d4a0859849b7885327f22,Khoá học Toeic 4 kỹ năng,200000,2,0,Khoá học toeic,[],None
676d4a6959849b7885327fea,Khoá học Toeic Athena,250000,6,0,Khoá học toeic,[],None
676d4ac359849b7885328100,Lộ trình luyện thi TOEIC cấp tốc,100000,5,0,Khoá luyện thi toeic,[],None
